date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Dec 22 - Jan 19,"August 3, 2022","Get ready to say and hear it all. Passionate words, for better or worse, are on the agenda. Are you ready for this? Bet you are. In fact, you've probably been waiting to have this conversation for some time.",Aries,Hopeful,Spring Green,34,2am,capricorn
May 21 - Jun 21,"August 3, 2022","Another day of romance? Yep -- complete with you feeling like you're not only being swept off your feet, but also quite possibly falling in love. Ready? You'd better be.  Now for you, everyday is Valentine's Day!",Pisces,Sweet,Orange,15,11pm,gemini
Sep 23 - Oct 22,"August 3, 2022","Here it is. The day all your dear ones have been anxiously awaiting. It's a well-known fact that if anyone knows how to spoil their special people, it's you. Big-time. Smile pretty. Bet someone shows up with a camera.",Taurus,Generous,Silver,34,2pm,libra
Jan 20 - Feb 18,"August 3, 2022","Ultimatums make you nervous -- really nervous -- no matter how scrupulously disguised the issuer thinks they are. So when one arrives today, you won't hesitate to turn it down. And good for you!",Virgo,Stressed,Blue,95,7pm,aquarius
Jun 22 - Jul 22,"August 3, 2022","You'll be especially sentimental with regard to anyone you care for, but when it comes to that one special person? Well, let's just say they won't have any doubts about just how much you care.",Scorpio,Thoughtful,Orange,61,2am,cancer
Oct 23 - Nov 22,"August 3, 2022",You're in an amazingly romantic mood. Your sweetheart will continue to be delighted and dumbfounded. Just be sure he or she has water and all important medications handy before you whip out the flowers and/or the little velvet box.,Cancer,Sweet,Teal,45,12pm,scorpio
Feb 19 - Mar 20,"August 3, 2022","You're done with the rules and regulations that have been imposed upon you. You've managed to show the powers that be that you're deserving of their trust. Now, there's only one thing left: Believe it yourself.",Taurus,Confidence,Sky Blue,15,9pm,pisces
Mar 21 - Apr 20,"August 4, 2022","There's only one way for sensual, sexual you to be in love -- and it doesn't involve a single cent, or a cast of thousands. Be sure you're with someone who can keep up. You're definitely not for the faint of heart.",Sagittarius,Loved,Orange,91,11am,aries
Jul 23 - Aug 22,"August 4, 2022","You thought you'd simply go to work, get your work done and go home. Your coworkers, however, have decided that this is a fine time to kid you about a recent occurrence. Fortunately, your sense of humor includes yourself.",Capricorn,Fun,Gold,8,3am,leo
Nov 23 - Dec 21,"August 4, 2022","The only thing you can be absolutely sure of now is that you're about to experience the last thing on earth you'd ever expect. Instead of worrying, however, you're ready, willing and open to it.",Capricorn,Happy,Blue,6,7pm,sagittarius
Apr 21 - May 20,"August 4, 2022","Get together with a group of friends today, and expect at least one of them to do quite a few surprising things -- like maybe revealing some far deeper feelings than just friendship. Ready? Better be.",Libra,Truthful,Silver,57,5am,taurus
Aug 23 - Sep 22,"August 4, 2022","There may be surprises on today's menu, but you'll enjoy it. They may even be a continuation of yesterday's festivities. If you're still in the mood for tender recreation, (and when aren't you?) don't stop now.",Libra,Surprised,Pink,72,7am,virgo
Dec 22 - Jan 19,"August 4, 2022","You are, hands down, one of the most romantic signs in the zodiac. You'll prove that to your lucky companion now, and it won't be tough. Just be yourself. What could possibly be better than being with you when you need?",Virgo,Happy,Orange,8,4am,capricorn
May 21 - Jun 21,"August 4, 2022","After days of romance, the other shoe had to drop sooner or later, right? Well, here it comes. The good news is that it won't be anything more than a slipper, and that a happy surprise will follow shortly.",Aquarius,Surprised,Peach,96,10pm,gemini
Sep 23 - Oct 22,"August 4, 2022","Okay. Back to business. Settle down and get back to work. You've got a pile of it, too, starting with what someone else forgot to do yesterday. Don't be too tough on them. Today can be quite a distraction.",Capricorn,Responsible,Peach,28,5pm,libra
Jan 20 - Feb 18,"August 4, 2022","Gushy? Mushy? Sappy? You? You're going to hate hearing this, but yes indeedy, you certainly will be all of the above. You won't feel bad about it, either. You've got two good excuses: you're sweet on someone.",Aries,Sweet,Sky Blue,4,4am,aquarius
Jun 22 - Jul 22,"August 4, 2022","Still feeling a bit woozy? Nostalgic? Well, then, spread it around. Why quit gushing if you're not ready to? Besides, there are all kinds of surprises on the agenda. Be prepared for anything.",Gemini,Surprised,Purple,23,3am,cancer
Oct 23 - Nov 22,"August 4, 2022","Change is on the horizon -- change of the most major kind. The good news is that you'll be in charge of getting the show on the road, and that you'll meet absolutely no resistance whatsoever.",Virgo,Lucky,Blue,21,10pm,scorpio
Feb 19 - Mar 20,"August 4, 2022","If there's one day that you understand, appreciate and enjoy, it's today. Now that it's here, what are you to do? Assemble the dearest of the dears at your place for a special dessert. That's what.",Aries,Sweet,Spring Green,42,11pm,pisces
Mar 21 - Apr 20,"August 5, 2022","Don't even try to look innocent. You know why you were late, and so do your coworkers. They're going to have a great time with you today, letting you know that they're jealous -- and they'd love to hear the details.",Leo,Sweet,Yellow,10,5pm,aries
Jul 23 - Aug 22,"August 5, 2022","A family member is about to confide in you, big-time. No worries -- you'll be more than open to hearing their confession. Contrary to popular opinion, you're quite good with secrets, too -- as long as they're not your own.",Cancer,Honest,Sky Blue,82,11am,leo
Nov 23 - Dec 21,"August 5, 2022","Going with your gut will really be the only way to proceed career-wise for the next few weeks. Fortunately, your antennae have always been pretty darned keen. Listen to them.",Virgo,Smart,Rose Pink,26,3pm,sagittarius
Apr 21 - May 20,"August 5, 2022","You're feeling so good that every word you utter makes everyone around you feel as if they've just walked out of a love story. The kind that reminds them of the one that got away. Be careful with your charm, now.",Virgo,Charming,Gold,56,6am,taurus
Aug 23 - Sep 22,"August 5, 2022","A group you've recently become very close to will love you even more now because of something you've inadvertently done to endear yourself to them. Remember, there really is something to be said for unselfish giving.",Cancer,Grateful,Shadow Black,78,3pm,virgo
Dec 22 - Jan 19,"August 5, 2022","If yesterday went as well as you thought it might -- and it's hard to think of it happening any other way -- then you'll probably be in the mood to sleep in late. With the right company handy, that goes double.",Aries,Sweet,Shadow Black,54,10am,capricorn
May 21 - Jun 21,"August 5, 2022","It's time for whispers, soft music and dim lights -- and you know what that means. Hibernation of the most delightful kind. You can also just enjoy a nice, quiet evening alone. Bet you won't, though.",Aries,Relaxed,Spring Green,18,3pm,gemini
Sep 23 - Oct 22,"August 5, 2022","Sshhh! Someone has something private to tell you, and they won't want anyone else -- not one single soul -- to hear about it. This will be a true test of your ability to keep a friend's secret.",Pisces,Quiet,Rose Pink,3,1pm,libra
Jan 20 - Feb 18,"August 5, 2022","After yesterday, you're positively lethal in the romance department. You've discovered a previously unknown talent for romance -- and as per with all new self discoveries, you'll be taking this one for a nice, long ride.",Pisces,Hopeful,Spring Green,10,9am,aquarius
Jun 22 - Jul 22,"August 5, 2022","You'll be working hard to try to find your purpose, especially with regard to work and career-related offers. If you look around carefully right now, you'll find a mentor, too. Keep your eyes open.",Libra,Aggressive,Orchid,18,12am,cancer
Oct 23 - Nov 22,"August 5, 2022","The tone of your voice will make everyone who hears it feel as if they've been bitten by the love bug -- so be careful what you say, and to whom you say it.",Libra,Cautious,Gold,4,4pm,scorpio
Feb 19 - Mar 20,"August 5, 2022","Today, you'll make yourself a priority. After that, it's business as usual. In other words, back to caring about others. For now, concentrate on your own needs. (Hey -- maybe you'll even make that part of your regularly scheduled programming! Couldn't hurt.)",Leo,Focus,Orchid,39,9am,pisces
Mar 21 - Apr 20,"August 6, 2022","All rested up? Good. Because you're due to be trusted with some sweet secrets right now, and keeping them under your hat may take a bit more energy than you'd expect. Don't worry. You can do it.",Capricorn,Honest,Purple,32,4am,aries
Jul 23 - Aug 22,"August 6, 2022","It's a fine day to be a Sag. The heavens are urging the whole world to be just as excessive, lavish and extravagant as you always seem to be. You'll help, too -- by showing us how it's done.",Aries,Joyful,Orange,84,5am,leo
Nov 23 - Dec 21,"August 6, 2022","It's not that you'll be excessive, exactly. You may go overboard when it comes to spending, or doting on a loved one, but you'll feel completely justified (and you won't hear any complaints from them!).",Libra,Sweet,Red,46,12pm,sagittarius
Apr 21 - May 20,"August 6, 2022","Right now, whatever is on your mind will be tough to hide, even if you'd really love to keep it to yourself. Smile, nod and say 'let me think about it' -- no matter how much pressure you're receiving.",Virgo,Calm,Copper,41,6am,taurus
Aug 23 - Sep 22,"August 6, 2022","All those good things you've been feeling? That 'just knowing' that something good was coming your way? You were absolutely right. It won't be long now. Sit tight, and keep doing what you're doing.",Pisces,Humble,Shadow Black,87,5am,virgo
Dec 22 - Jan 19,"August 6, 2022","An unexpected call, email or visit from a far-off loved one will absolutely make your day. This communication is just the beginning, too. You're due for lots of warm, wonderful messages. Enjoy!",Scorpio,Joyful,Navy Blue,40,1am,capricorn
May 21 - Jun 21,"August 6, 2022","Lucky? Oh, yes. If ever there was a day to grab a lottery ticket -- just one, now, no getting carried away -- this is it. That church raffle wouldn't be a bad idea, either. Be prepared to share the wealth.",Pisces,Lucky,Peach,73,8am,gemini
Sep 23 - Oct 22,"August 6, 2022","If you're not currently involved, you'd better get out there right now in your finest, and start strutting your stuff. All the heaven's lights are green. Do not -- repeat, do not -- waste this on Leno or Letterman.",Taurus,Lucky,Silver,58,5am,libra
Jan 20 - Feb 18,"August 6, 2022","For the next few days, you'll spend a bit of time thinking about what's really important to you and what's not. Of course, all that thinking will lead to actions -- the kind that may seem sudden to some.",Aries,Thoughtful,Silver,13,12am,aquarius
Jun 22 - Jul 22,"August 6, 2022","Your charm has never been anything to sneeze at, but you'll knock the socks off of everyone now -- including those who've supposedly become immune. If you've got something to sell, consider it sold.",Gemini,Charming,Gold,1,3am,cancer
Oct 23 - Nov 22,"August 6, 2022","If you've been thinking that it's time for that promotion you've been after, or asking for that raise or bonus -- well, let's just say that there's really and truly no time like the present to go for it.",Capricorn,Lucky,Red,24,6am,scorpio
Feb 19 - Mar 20,"August 6, 2022","You're still buzzing from that day's tenderness.  In fact, it's tough to make you stop feeling romantic, regardless of the day. Keep it going!",Aries,Sweet,Navy Blue,29,12am,pisces
Mar 21 - Apr 20,"August 7, 2022","Once again, far-off friends, lovers or relations are at the very top of your priority list, and you're far from unhappy about it. You'll be tickled to hear from them, and you'll welcome the chance to finish up old business.",Gemini,Thoughtful,Gold,0,9pm,aries
Jul 23 - Aug 22,"August 7, 2022",Better have your place nice and clean and straightened up the way you like it. Not that you're due for a white glove check -- nothing like that. What you're set up for is a surprise visit from someone you'll want to impress.,Scorpio,Surprised,Gold,70,8pm,leo
Nov 23 - Dec 21,"August 7, 2022","Emotional intensity is the name of the game, and there's no other way to play it. You're not prone to this kind of thing, since you love to keep things light, but in this case, you'll want to make an exception.",Aries,Quiet,Gold,63,10pm,sagittarius
Apr 21 - May 20,"August 7, 2022","Whatever you're working on at the moment may seem like it's going off without a hitch, and that could be true. Unless, of course, you're not seeing what's right in front of your face -- the best place to hide something.",Aries,Confidence,Gold,93,2am,taurus
Aug 23 - Sep 22,"August 7, 2022","Today is like an instant reply of some recent momentous changes, but surprisingly, you're up for it. This doesn't mean you'll like it, but you'll get the job done.",Aquarius,Accomplished,Pink,32,5am,virgo
Dec 22 - Jan 19,"August 7, 2022","It started yesterday, but you've been feeling this coming for a while now. There's a change en route, and you know it. Rather than being unhappy about it, however, you're actually kind of excited. And why not?",Aquarius,Excited,Red,27,8pm,capricorn
May 21 - Jun 21,"August 7, 2022",A little drama could turn to melodrama before you know it -- especially if you're not careful. So if you feel a change in the air -- as if something is beginning to turn volatile -- step away carefully.,Capricorn,Cautious,Shadow Black,33,2am,gemini
Sep 23 - Oct 22,"August 7, 2022","Depth, passion and intensity. That's all you're after, and all you'll accept. So heaven help anyone who tries to pass you off with just a couple of well-rehearsed, scripted remarks. It ain't happenin'.",Sagittarius,Smart,Pink,0,7am,libra
Jan 20 - Feb 18,"August 7, 2022","You might just as well forget about whatever you had planned, because this will definitely not be your ordinary, run-of-the-mill day. A startling message this morning may even convince you to use one of your sick days tomorrow.",Taurus,Surprised,Sky Blue,66,2am,aquarius
Jun 22 - Jul 22,"August 7, 2022","The stars are primed to help you open up all your feelings -- and for you, feelings are already your specialty. Prepare to go on at length about everything you feel, and for the world to be quite receptive.",Capricorn,Truthful,Spring Green,52,3am,cancer
Oct 23 - Nov 22,"August 7, 2022","Forget being nice, cooperative or keeping quiet about your true opinions. Whoever you're with will work so very hard at keeping the peace that you won't have to worry about it. Go ahead. Let it fly.",Sagittarius,Truthful,Teal,5,5am,scorpio
Feb 19 - Mar 20,"August 7, 2022","You're in the mood to shop, but only for something that no one else has. Catalogues, boutiques and specialty shops will catch your fancy. Go easy on anyone who innocently suggests that you try a department store first.",Taurus,Smart,Sky Blue,19,9pm,pisces
Mar 21 - Apr 20,"August 8, 2022",Pretend there's a genie on duty with a limitless amount of wishes for you. Don't hold back. Imagine everything you really want as already being true. Positive thinking can't hurt -- and neither can affirmations.,Cancer,Energetic,Orchid,20,10pm,aries
Jul 23 - Aug 22,"August 8, 2022","You're a magnet. A veritable magnet for the attention of interesting, attractive others -- and that's not all. You can't turn it off -- but then, why would you want to?",Cancer,Charming,Brown,93,8pm,leo
Nov 23 - Dec 21,"August 8, 2022","A family member who's been there for you many, many times is in need of something. They may be too proud to mention it, however, so you'll have to offer in such a way as to not bruise their pride. You can do it.",Aries,Grateful,Sky Blue,48,7pm,sagittarius
Apr 21 - May 20,"August 8, 2022","The universe has arranged for a benefactor of sorts to come your way, fully equipped with helpful hints, solid advice and a veritable stack of folks who can guide you along your way. Say thank you.",Libra,Humble,Blue,44,8am,taurus
Aug 23 - Sep 22,"August 8, 2022","Still feeling lucky? You should, because luck is still on your side. That includes meeting just the right person at just the right time to help you get whatever you need. All you have to do is show up.",Libra,Lucky,Teal,11,8am,virgo
Dec 22 - Jan 19,"August 8, 2022","The sudden intensity of the emotions you're going through is far less frightening than you'd ever imagined it to be. In fact, you're enjoying it. Go ahead. Pull out all the stops and let the change take over.",Aries,Loved,Spring Green,61,5am,capricorn
May 21 - Jun 21,"August 8, 2022","You're not used to hearing from folks who aren't either right next door or from your immediate family. Well, prepare yourself for something different, because it's en route via a long-distance call, visit or email.",Leo,Surprised,Spring Green,92,12pm,gemini
Sep 23 - Oct 22,"August 8, 2022","Consider this an instant replay of an inspirational moment, without the confusion. You're feeling renewed, and you have a clear direction. Decide what to do, and who you want to have by your side. If you can imagine it, it can happen.",Sagittarius,Hopeful,Shadow Black,99,5am,libra
Jan 20 - Feb 18,"August 8, 2022","Intensity is the name of the game, in every department. There will be no such thing as a lighthearted conversation, a casual glance or a comment that really didn't mean anything. Look for the deeper meaning in everything.",Leo,Thoughtful,Brown,87,9pm,aquarius
Jun 22 - Jul 22,"August 8, 2022","Talk about getting lucky! This kind of luck has absolutely nothing to do with the everyday, however. Fortune will smile on you, especially when it comes to making close connections with delicious new friends.",Aquarius,Lucky,Spring Green,16,4am,cancer
Oct 23 - Nov 22,"August 8, 2022","Freedom, independence and doing your own thing. That's the deal now -- the only one you'll be willing to make, at least. So if you're beginning to feel like a prisoner, don't worry about hurting their feelings. Run.",Leo,Independent,Navy Blue,95,3am,scorpio
Feb 19 - Mar 20,"August 8, 2022","If you're not done with all your projects -- work-wise, at least -- don't stress about it. If you really need to, you can put an hour or two of overtime in today, or go in early tomorrow. Talk about brownie points!",Aries,Calm,Pink,90,10pm,pisces
Mar 21 - Apr 20,"August 9, 2022","You'd never have expected this missive, not in a million years. Now that it's here, be sure you're ready for anything to happen as a result. Bet you are, too.",Libra,Calm,Sky Blue,17,7pm,aries
Jul 23 - Aug 22,"August 9, 2022","To say you'll be right on top of things won't quite cut it. You'll be so very efficient, you'll probably scare even yourself. Do try to stop short of listing your lists alphabetically. That might be over-the-top.",Pisces,Accomplished,Sky Blue,52,4pm,leo
Nov 23 - Dec 21,"August 9, 2022","You silver-tongued devil, you! As if your already indisputable way with logic weren't enough, you've suddenly been additionally gifted with the ability to charm the socks off of any audience member. Is that fair?",Scorpio,Charming,Red,98,3pm,sagittarius
Apr 21 - May 20,"August 9, 2022","It's a fine weather time to be you. Everyone -- absolutely everyone -- will be intense, sensual and totally focused on their desires. Which will make it a lot easier for you to dangle that carrot in front of a dear one's face.",Scorpio,Attractive,Blue,97,9am,taurus
Aug 23 - Sep 22,"August 9, 2022","Don't let a dear one talk you out of your hard-earned pesos. No matter how convincing the story sounds, you may not have all the information. At any rate, be sure they'll really, truly repay you.",Cancer,Cautious,Red,11,5am,virgo
Dec 22 - Jan 19,"August 9, 2022","Talk about an exciting week. It's off to an 'interesting' start, thanks to a pair of planets who'll conspire to put you on the receiving end of some absolutely delightful attention.",Virgo,Excited,Yellow,33,4pm,capricorn
May 21 - Jun 21,"August 9, 2022","Just in time for a seriously busy day, the stars have decided to slip into your house of work, inspiring you to get all your duties done -- and anything anyone else has left undone, too.",Aquarius,Accomplished,Gold,88,2am,gemini
Sep 23 - Oct 22,"August 9, 2022","You're happy, excited and perfectly ready to tell the world all about it. So what are you waiting for? Clear your throat and start talking. Happy news is always welcome news.",Virgo,Talkative,Copper,90,5pm,libra
Jan 20 - Feb 18,"August 9, 2022",The new friends you've made lately haven't exactly been the type you want to bring home. Prepare for one more. The only thing you'll be able to count on is that they'll be totally unlike anyone you've ever met.,Virgo,Cautious,Teal,27,2pm,aquarius
Jun 22 - Jul 22,"August 9, 2022","You're energetic, happy and eager to work. Good thing, too, because you might just have your hands full, taking care of what someone else was supposed to do. Think of it as brownie points, and do it with a smile.",Sagittarius,Energetic,Teal,19,6pm,cancer
Oct 23 - Nov 22,"August 9, 2022","You've got energy to spare -- and it's a good thing, too, because you're going to need it. Oh, and when you cross paths with someone who's not feeling quite so motivated, chat 'em up. You can get them going, if anyone can.",Sagittarius,Persuade,Blue,27,11am,scorpio
Feb 19 - Mar 20,"August 9, 2022",Everyone around you sure is acting a little off-the-wall. You haven't run into one single person whose emotions aren't running on high. That might even include you.,Capricorn,Depressed,Orange,28,9am,pisces
Mar 21 - Apr 20,"August 10, 2022","Intensity is the name of the game, and you won't stand for anything less. Not one iota. So if anyone tries to suggest that you tone it down, you won't take kindly to it, and well you shouldn't. Demand what you really want: depth.",Cancer,Aggressive,Peach,83,12am,aries
Jul 23 - Aug 22,"August 10, 2022","You've got the urge to shop not just 'til you drop, but until you fall into a heap. Resist it! Does all that shiny stuff really make you happy? Is it worth the enormous bills that arrive later?",Libra,Conservative,Orchid,38,12am,leo
Nov 23 - Dec 21,"August 10, 2022","There's absolutely no time like the present to investigate far-off lands, distant friends and lovers and the possibility of coming into contact with both. So what's the holdup? Ask some questions. Now.",Taurus,Refreshed,Peach,36,9am,sagittarius
Apr 21 - May 20,"August 10, 2022","You'll have plenty of energy to do whatever you want to do, so why not put it to good use? A dear one may need your cutting wit and wisdom to help them out of a tough spot. Don't hesitate.",Gemini,Thoughtful,Yellow,69,9am,taurus
Aug 23 - Sep 22,"August 10, 2022",Give a break to that higher-up who's been extremely critical about you lately. They might not be simply out to give you a hard time. Maybe they're looking for a replacement for an important position.,Taurus,Successful,Purple,14,8am,virgo
Dec 22 - Jan 19,"August 10, 2022","You're feeling energetic, excited and even chattier than you usually are. Outside of talking a stranger's ear off, you'll also want to have a heart-to-heart with a dear one. Bet they won't mind. You're so entertaining!",Leo,Excited,Red,40,10am,capricorn
May 21 - Jun 21,"August 10, 2022","You'll be a veritable ball of fire at work, so don't be surprised if others are a bit jealous. That doesn't mean you should stop hitting it out of the park, however. Do it all, and do it well. The higher-ups will be absolutely tickled.",Taurus,Successful,Spring Green,53,6am,gemini
Sep 23 - Oct 22,"August 10, 2022","The stars are inspiring you to move one step closer toward falling deeply in love. If you suddenly feel closer to someone you've been casually dating, remember: There's a reason for this.",Aries,Loved,Brown,61,6pm,libra
Jan 20 - Feb 18,"August 10, 2022","When it comes to energy, you'll have plenty of it, especially when it comes to voicing your opinions. Better do it while you can, too. Soon, you may not feel quite so free to say what's on your mind.",Leo,Energetic,Teal,16,4pm,aquarius
Jun 22 - Jul 22,"August 10, 2022","The stars will keep you motivated, especially when it comes to a certain pet project. Expect to be at work late. And don't be afraid to reward yourself with a special treat once it's all done.",Aries,Busy,Pink,66,2pm,cancer
Oct 23 - Nov 22,"August 10, 2022","Thanks to the stars, we'll all be quite emotional, both today and tomorrow -- but you'll be the poster child for just letting go. When you feel yourself getting ready to do some serious rebelling, don't fight it.",Capricorn,Aggressive,Pink,67,4am,scorpio
Feb 19 - Mar 20,"August 10, 2022","Okay, you're out of the woods now. The drama you've been dealing with for the past few days is finally over. You may need to help someone dear to you get over it, however.",Sagittarius,Thoughtful,Peach,15,5am,pisces
Mar 21 - Apr 20,"August 11, 2022","Whether it's anger, jealousy or plain old resentment won't matter. The point is that you're about to meet with the proverbial green-eyed monster. Be gentle, humble and gracious. It's the only way to kill the thing.",Cancer,Humble,Orchid,57,11am,aries
Jul 23 - Aug 22,"August 11, 2022","It's all good, it's all about family and a joint financial deal could keep it that way. Does this mean you'll get in the middle of something? No way. But keep a careful watch on your plastic and your accounts.",Aquarius,Cautious,Purple,72,3pm,leo
Nov 23 - Dec 21,"August 11, 2022",This may feel like a major case of deja vu. The good news is that you won't exactly be unhappy about reliving one of the best days you can remember in recent months.,Leo,Peaceful,Shadow Black,8,6pm,sagittarius
Apr 21 - May 20,"August 11, 2022","Talk about being on top of the world! You're the happiest person on the planet. There might not be one particular reason, but if there is? Bet it just so happens to involve one special someone.",Virgo,Loved,Purple,51,7am,taurus
Aug 23 - Sep 22,"August 11, 2022","Just in time for a wonderful, wonderful day (and night), you've been magically endowed with the ability to talk just about anyone into just about anything. Use this wisely. It's going to be easier to turn on than to turn off.",Taurus,Persuade,Copper,50,6am,virgo
Dec 22 - Jan 19,"August 11, 2022","A friend may let you know that they've had it with another friend of yours, putting you in the position of mediator. Ordinarily, that's what you do best. If you're not game, though, beg off.",Leo,Persuade,Pink,42,6am,capricorn
May 21 - Jun 21,"August 11, 2022","That good-luck roll you're on isn't going anywhere, especially when it comes to relationships. In fact, your worst problem will probably be which wonderful offer to accept. Tough to be you, huh?",Sagittarius,Lucky,Peach,58,8pm,gemini
Sep 23 - Oct 22,"August 11, 2022","You're furious, and that's just not like you. Ordinarily, you'd rather make a joke out of a bad situation, put some distance between you and the opponent and forget it. But this time? No way. Hold your ground.",Aries,Stubborn,Sky Blue,43,4pm,libra
Jan 20 - Feb 18,"August 11, 2022","Three times a year, you get a guardian angel completely at your disposal. Now is one of those times. Turn in a wish list. No fair making those wishes for someone else, either. They'll have their own shot at the title soon enough.",Cancer,Lucky,Pink,76,7am,aquarius
Jun 22 - Jul 22,"August 11, 2022","If you've got extensive shopping to do, get it done now. You won't be able to stop yourself from being frugal, sensible and downright levelheaded. Don't worry, though. This won't last long.",Taurus,Confidence,Orange,84,3pm,cancer
Oct 23 - Nov 22,"August 11, 2022","You'll be amazingly lucky, and although you'll have plenty of company along those lines now, it's definitely your turn to cash in. No matter how much you have on the line, don't worry. You'll definitely break even. In all departments.",Libra,Lucky,Silver,27,7pm,scorpio
Feb 19 - Mar 20,"August 11, 2022","As if you weren't already deeply enmeshed -- quite happily so -- within your current peer group, here's yet another chance to snuggle up with a new and improved batch of kindred spirits.",Scorpio,Social,Orchid,95,11am,pisces
Mar 21 - Apr 20,"August 12, 2022","When it comes to going after what you want, you won't be willing to take anything less. Put your feet down, and keep them firmly in place.",Pisces,Accomplished,Rose Pink,66,3am,aries
Jul 23 - Aug 22,"August 12, 2022","This day may not start out the way you thought it might, but by sundown, you'll have an entirely different attitude. In the meantime, no matter what kind of startling announcements or revelations come along, stay calm.",Cancer,Calm,Shadow Black,18,5pm,leo
Nov 23 - Dec 21,"August 12, 2022","Stop daydreaming about that vacation. Start making plans to actually go. Whether it's Alaska, New England or Egypt, it's time to make plans -- and to invite someone special along for the ride.",Virgo,Energetic,Brown,0,2pm,sagittarius
Apr 21 - May 20,"August 12, 2022","A dear friend may seem to be acting a bit more picky toward you than they usually are -- and a lot more judgmental. That doesn't mean they love you any less, but you might want to ask what they're after.",Libra,Thoughtful,Orange,90,5pm,taurus
Aug 23 - Sep 22,"August 12, 2022","Still thinking they're out to get you? Well, stop it. Circumstances will show that you were wrong. You may need to do something you don't like much -- apologize -- but once you get the words out, you'll both feel better.",Leo,Honest,Sky Blue,33,12am,virgo
Dec 22 - Jan 19,"August 12, 2022","The stars are here to let you know that all emotions are running on high -- and yours are no exception. They'll also inspire you to speak exactly what's on your mind, in no uncertain terms.",Aquarius,Truthful,Pink,36,11pm,capricorn
May 21 - Jun 21,"August 12, 2022","Whatever you've been thinking about doing with regard to a dear one who's just recently become absolutely irresistible? Stop putting those plans on hold. Make them, and rest assured your companion will be delighted.",Capricorn,Excited,Brown,74,5am,gemini
Sep 23 - Oct 22,"August 12, 2022",The stars are still urging you to let go of everything you think of as normal in favor of going after exactly what you want. Ditch the usual and be brave.,Pisces,Brave,Pink,64,5pm,libra
Jan 20 - Feb 18,"August 12, 2022","You've been hiding a secret for weeks, hoping that no one you know would either ask about it or hint to others that they might know a few select -- and juicy -- details. That might not be possible to avoid now.",Pisces,Honest,Yellow,0,10pm,aquarius
Jun 22 - Jul 22,"August 12, 2022","Surprises are on the agenda for the next few days, starting now. They'll be delightful surprises, though, so when that call, visit or email arrives with an invitation, don't be afraid to accept.",Aquarius,Surprised,Silver,50,11am,cancer
Oct 23 - Nov 22,"August 12, 2022","The next two days will be surprising, to say the least. The very least. A dear one's proclamation will catch you off guard -- as it will all other parties concerned. That doesn't mean it won't be a positive thing.",Pisces,Surprised,Yellow,83,6am,scorpio
Feb 19 - Mar 20,"August 12, 2022","You're after intimacy, but only on your terms -- and you have some very specific rules. That doesn't mean you won't be up for getting closer, only that you have some very vivid memories about last time.",Sagittarius,Sweet,Blue,87,8am,pisces
Mar 21 - Apr 20,"August 13, 2022","The stars are all about stirring up feelings in a bubbling stew right now. You knew you'd be quite emotional today. And you were right, weren't you?",Sagittarius,Moody,Shadow Black,12,7pm,aries
Jul 23 - Aug 22,"August 13, 2022","Still reeling from yesterday? Well, don't get comfy, because the Universe isn't quite done with you. It's time to be jolted out of a rut, and whether you knew it or not won't matter at all. Be flexible. Very flexible.",Capricorn,Creative,Purple,31,9am,leo
Nov 23 - Dec 21,"August 13, 2022","Someone who seems to be on a mission to undermine you in the eyes of the authority figures will meet up with a few stumbling blocks today: you, the truth and your willingness to say it.",Pisces,Lucky,Copper,89,11pm,sagittarius
Apr 21 - May 20,"August 13, 2022","You're still running on high, still trying to think of the perfect way to inspire a group you've become amazingly close to over past weeks. You'll do it. Just don't forget to bring along that famous smile.",Aquarius,Confidence,Orange,30,10am,taurus
Aug 23 - Sep 22,"August 13, 2022","Pinch those pennies as long as you can. A sudden change of plans may make it necessary to spend a bit more than you'd planned, but don't go nuts. Something may be coming up, but until it's actually necessary, don't whip out the plastic.",Sagittarius,Cool,Gold,54,8pm,virgo
Dec 22 - Jan 19,"August 13, 2022","You're feeling as if you're on shaky ground, and that may well be the case. But if you don't put your best foot forward -- honestly --- you'll never know if you might have won.",Scorpio,Calm,Blue,25,6pm,capricorn
May 21 - Jun 21,"August 13, 2022","The light of the stars is turning elsewhere, but their energy is still running on high, inspiring you to spend as much time as possible with one quality person. Fortunately, they're feeling extremely cooperative about it.",Virgo,Sweet,Purple,29,3am,gemini
Sep 23 - Oct 22,"August 13, 2022","A surprising call from a friend or loved one will get your day off to a startling beginning -- which, of course, is the last thing on earth you want. Still, if you relax, you might find you'll enjoy it.",Virgo,Refreshed,Rose Pink,53,3pm,libra
Jan 20 - Feb 18,"August 13, 2022","Keep recent past events in mind, and you'll have an idea of how to react to today's surprising events -- but only an idea. With the mood the heavens are in, who knows what you'll actually say?",Pisces,Surprised,Spring Green,13,2pm,aquarius
Jun 22 - Jul 22,"August 13, 2022","Here's another one: another totally unpredictable day. Now, you've never had a problem with this sort of thing, but you probably know someone who won't be dealing with it quite so well. Be understanding if they're cranky.",Aries,Thoughtful,Teal,13,5pm,cancer
Oct 23 - Nov 22,"August 13, 2022","Ready for a great big surprise? You'd better be, because that's exactly what the universe has on the agenda -- that, and attracting the attention of a most unusual new friend.",Gemini,Lucky,Sky Blue,24,4pm,scorpio
