date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Jun 22 - Jul 22,"June 30, 2022","Drama (and possibly melodrama) could very well be on your agenda. At the very least, you can expect secrets, intrigue and whispered conversations. Don't be mad. At least one of those conversations could lead to a delightful encounter.",Libra,Patient,Shadow Black,66,6pm,cancer
Oct 23 - Nov 22,"June 30, 2022","Your thoughts are extremely practical now, as is your ever-constant intuition. So if you're thinking about making a major decision, don't stop yourself. With the best of both worlds operating, how could you go wrong?",Cancer,Determined,Gold,68,4am,scorpio
Feb 19 - Mar 20,"June 30, 2022","Your companion will be extremely amorous tonight, and you won't exactly be feeling aloof yourself. Now that you know, pull out all the stops and go for it. The limo, the champagne, whatever it takes. Make this evening truly special.",Sagittarius,Loved,Teal,21,11pm,pisces
Mar 21 - Apr 20,"July 2, 2022","Just when you thought it was safe to shop -- just a little -- you've suddenly been reminded of the balance in your checking account. Oh, well. How about sitting down and creating a budget?",Leo,Conservative,Blue,19,6am,aries
Jul 23 - Aug 22,"July 2, 2022","That next giant step toward intimacy you've thought about taking? What's the holdup? You're both ready and willing. Whether it's confiding a secret or playing hide-and-seek under the covers, it's time. Stop stalling.",Libra,Brave,Orchid,52,11am,leo
Nov 23 - Dec 21,"July 2, 2022","You're in the mood to take a risk. You're feeling lucky -- sure of victory and positive there's no reason to second-guess your moves. Here's a tip: Wait until tomorrow, and you may be right on all counts.",Cancer,Successful,Orchid,69,2pm,sagittarius
Apr 21 - May 20,"July 2, 2022","It's time to relax, enjoy the best of life and revel in the fact that others are, after all, capable of being at least half as civil, polite and refined as you are on a daily basis.",Cancer,Peaceful,Pink,60,9pm,taurus
Aug 23 - Sep 22,"July 2, 2022","You've been taking a look around you lately, and you've decided it's time for a change. You may not be ready to move, but you're certainly up for some redecorating. Get on it while you're in the mood.",Pisces,Creative,Gold,19,5pm,virgo
Dec 22 - Jan 19,"July 2, 2022","It's time for a public protest, and you're ready to participate. You may even end up leading it. Well, so much for that 'shy and retiring' reputation. Let the world know they've misdiagnosed you for the last time.",Libra,Leading,Purple,90,7pm,capricorn
May 21 - Jun 21,"July 2, 2022","Once again, you've been put in the position of mediator. You don't mind, but it is starting to get old. Really old. And isn't it time for you to enjoy at least a little bit of your free time?",Virgo,Peaceful,Orange,94,9pm,gemini
Sep 23 - Oct 22,"July 2, 2022","Keeping quiet about what's been going on lately with a dear one will definitely not be easy for the next few weeks, but it's what will be best for all parties concerned in the long run.",Capricorn,Quiet,Rose Pink,95,7pm,libra
Jan 20 - Feb 18,"July 2, 2022","Higher-ups, authority figures and thoughts about work, work, work will grab your attention and hold it. Does this mean you'll be no fun tonight? Hardly. After all that work, you'll be ready to play. Big-time.",Taurus,Accomplished,Gold,40,1am,aquarius
Jun 22 - Jul 22,"July 2, 2022","You're going to be a very, very busy individual, not just for today, but for the better part of the week. The universe has arranged an orchestra of energies, all of them playing your song. Got vitamins?",Leo,Busy,Brown,0,2pm,cancer
Oct 23 - Nov 22,"July 2, 2022","Your one-to-one relationships will be first and foremost on your mind now -- and in your heart. Heaven help anyone who tries to come between you and whoever you care about. It won't work, and they could end up scarred.",Leo,Calm,Brown,26,3am,scorpio
Feb 19 - Mar 20,"July 2, 2022","If there's anything you want to ask of a superior, plan it out now. Say it sweetly and you'll have it -- no doubt about it. That goes for the raise, the promotion and the bonus. ",Virgo,Successful,Silver,80,3am,pisces
Mar 21 - Apr 20,"July 3, 2022","You have the perfect right to be as diligent, dutiful and dedicated as you really want to be. Once night falls, however -- well, it's up to you to make this evening fun. Bet you can handle it!",Sagittarius,Sweet,Rose Pink,18,4am,aries
Jul 23 - Aug 22,"July 3, 2022","Your focus has shifted from diligence to impulse, especially when it comes to making new friends. Unusual friends. Just don't think for one second that because they're 'different,' they won't ask you to take the reins. Or that you won't accept.",Libra,Friendly,Shadow Black,47,2pm,leo
Nov 23 - Dec 21,"July 3, 2022","You're in the mood for a change, most especially in the department of personal relationships, which will make life even more interesting. If you suddenly see your partner in a whole new light, make sure they know about it.",Virgo,Hopeful,Shadow Black,20,5pm,sagittarius
Apr 21 - May 20,"July 3, 2022","Ready to make some extra cash on the side? If you've got the spare time, there's a way to turn it into profit. Think about what you love to do, and see if you can't turn a hobby into part-time income.",Cancer,Diligent,Brown,44,4pm,taurus
Aug 23 - Sep 22,"July 3, 2022","At the moment, you're nothing if not rational, practical and entirely unbiased, regardless of your most personal feelings. It's not easy to pull off, but that objectivity is about to come in handy.",Cancer,Mellow,Navy Blue,89,6pm,virgo
Dec 22 - Jan 19,"July 3, 2022","You can come out now. It's safe -- financially speaking, anyway. So, if someone makes you a rather shady offer they're assuming you won't be able to refuse, let them know that's exactly what you're doing.",Gemini,Confidence,Peach,79,11am,capricorn
May 21 - Jun 21,"July 3, 2022","Something you've been dying to try for some time is about to become a reality, thanks to a dear one who's not exactly from your neck of the woods. Now, aren't you glad you stayed in touch?",Sagittarius,Happy,Purple,41,12pm,gemini
Sep 23 - Oct 22,"July 3, 2022","There's a change coming in your home and/or family life -- a big one. The good news is that you're going to initiate it, and it's going to go well. Keep that in mind if things get tricky tonight.",Gemini,Calm,Purple,17,9pm,libra
Jan 20 - Feb 18,"July 3, 2022","Still on a roll? Well, good for you. You're certainly due for one. And if you happen to be in the right company, you might be able to convince yourself that it's time for a party again.",Scorpio,Joyful,Navy Blue,29,1pm,aquarius
Jun 22 - Jul 22,"July 3, 2022","Whether you're single or attached, expect to have love on your mind, big-time. There's a planetary lineup in place that's specially designed to inspire you along that tender path. Lucky you.",Libra,Loved,Brown,99,9am,cancer
Oct 23 - Nov 22,"July 3, 2022","You're about to become involved in a behind-the-scenes situation that might get tricky -- and could go on for at least a few weeks. Choose sides now, and resolve to stick to your guns.",Gemini,Determined,Peach,72,11am,scorpio
Feb 19 - Mar 20,"July 3, 2022","There's a new Moon due, and it's going to light a fire under you in the career department. That means you'll be impossible to tame at work -- and that at least one coworker may be feeling a bit jealous.",Cancer,Successful,Brown,78,4am,pisces
Mar 21 - Apr 20,"July 4, 2022","Someone who's totally unlike anyone you've ever known will suddenly cross your path, and you won't be shy about letting them know just how unusual they are. The good news is that they'll find you equally interesting.",Capricorn,Charming,Sky Blue,35,6am,aries
Jul 23 - Aug 22,"July 4, 2022","Thinking about doing a bit of power shopping? If you're not quite sure of exactly what you want, don't pull out the debit card just yet. Take your time, and keep looking. What's the hurry?",Sagittarius,Patient,Copper,58,10am,leo
Nov 23 - Dec 21,"July 4, 2022","You're so fond of getting 'up close and personal' that you've always wondered if that line wasn't written with you in mind. Whoever it is you're about to ambush with affection, then -- well, lucky them.",Taurus,Thoughtful,Silver,29,1am,sagittarius
Apr 21 - May 20,"July 4, 2022",You're about to amaze even yourself at what tumbles out of your mouth. Just try to go easy on anyone who's less equipped in the verbal department -- which today is just about everyone.,Aries,Friendly,Orange,16,8pm,taurus
Aug 23 - Sep 22,"July 4, 2022","Your always considerable imagination is running wild at the moment, causing you to deliberate, reflect and mull over all recent interactions. Just don't go overboard. It's a fine line between focused and obsessive.",Sagittarius,Creative,Blue,89,10am,virgo
Dec 22 - Jan 19,"July 4, 2022","You're not in the mood for games. Fortunately, most folks won't even try to play. If they do, they'd have to be deaf, dumb and blind not to see that they're playing with fire.",Virgo,Serious,Pink,7,7pm,capricorn
May 21 - Jun 21,"July 4, 2022","Higher-ups are acting finicky and restless, leading you to wonder whether you might have inadvertently done something to incur their wrath. If you can't think of a single incident, relax. Their mood probably has nothing to do with you.",Virgo,Irritated,Pink,75,4pm,gemini
Sep 23 - Oct 22,"July 4, 2022","Romance isn't just your specialty. It's also what you live for. Well, lucky you. There's lots of it on your dance card for the next few days, and maybe longer. The fun starts tonight.",Cancer,Fun,Silver,45,6pm,libra
Jan 20 - Feb 18,"July 4, 2022",You're about to be asked to take charge of a serious group situation -- one you're not sure you can handle. Go ahead and accept. You'll get through it with flying colors.,Scorpio,Leading,Blue,1,9am,aquarius
Jun 22 - Jul 22,"July 4, 2022","After last night's tenderness, you're probably waiting for the other shoe to drop. Not to worry, Gloomy Gus. It's not over yet. You've got plenty of snuggling ahead.",Aries,Loved,Pink,3,5pm,cancer
Oct 23 - Nov 22,"July 4, 2022","You're not usually the emotional type, and you very, very rarely let your feelings show in public. At the moment, however, you're not primed to hold anything back, and it's just as well. You wouldn't be any good at it.",Aquarius,Moody,Shadow Black,33,11pm,scorpio
Feb 19 - Mar 20,"July 4, 2022","Nothing about your day will be routine or monotonous, even if it's supposed to be. But given your natural disposition, you'll love every second. Go easy on others who aren't enjoying this quite so much.",Cancer,Fun,Spring Green,64,12pm,pisces
Mar 21 - Apr 20,"July 6, 2022","After days of announcing your presence to the world, you're suddenly in the mood to curl up, snuggle up and disappear. Good for you. Hibernation is necessary for us all every now and then. It's officially your turn.",Gemini,Relaxed,Gold,16,5am,aries
Jul 23 - Aug 22,"July 6, 2022",About that advice? It's time to ask for it. Don't fool yourself into thinking that you can go it alone now. You need the input of an objective third party -- someone who'll be willing to tell you the whole truth.,Gemini,Humble,Navy Blue,2,9am,leo
Nov 23 - Dec 21,"July 6, 2022","You're focused on personal relationships more than anything else. Fortunately, they're just as focused on you. So if you have to make a major joint decision, don't worry about it turning out badly.",Pisces,Confidence,Red,96,8pm,sagittarius
Apr 21 - May 20,"July 6, 2022","This is one of those days that often goes down in the books as 'interesting' for a variety of reasons. Take the best of it -- i.e., the fun and surprises you're in for this morning -- and let the rest go.",Gemini,Excited,Copper,14,9am,taurus
Aug 23 - Sep 22,"July 6, 2022","Whoever is in charge doesn't seem to be taking their job seriously -- at least not in your book. That might mean it's time for you to take over. Don't worry. If you're thinking along these lines already, you're halfway there.",Leo,Responsible,Spring Green,29,12pm,virgo
Dec 22 - Jan 19,"July 6, 2022","Don't be shy. It's never been something you were any good at, anyway. Just say it, whatever it is. Even your family members will applaud you for having the guts to get this out in the open.",Libra,Brave,Copper,64,4pm,capricorn
May 21 - Jun 21,"July 6, 2022","Finding a happy medium between what you want and pleasing the ones you love won't be easy, but if you stand your ground (and who's better at that than you?), you can pull it off easily.",Libra,Charming,Teal,81,2am,gemini
Sep 23 - Oct 22,"July 6, 2022",Surprising news today could leave you feeling like you've been forced into making a very serious decision tonight. You've got quite a day on the menu. Better take your vitamins.,Aquarius,Stressed,Rose Pink,97,8pm,libra
Jan 20 - Feb 18,"July 6, 2022","If something surprising has recently come out into the open, don't blame yourself. Every now and then, it's time for secrets to be revealed. It's necessary to clear the air regularly.",Taurus,Truthful,Teal,77,1pm,aquarius
Jun 22 - Jul 22,"July 6, 2022",This is one for the record books. Startling news this morning could well lead to a major decision tonight. Fasten your seat belt. This just might be a rather bumpy ride.,Gemini,Determined,Gold,76,6pm,cancer
Oct 23 - Nov 22,"July 6, 2022","Talk about interesting. You're due for a surprising call, email or personal visit followed by the need for a few quality hours alone, thinking about what to do next. Don't worry. You'll come up with the right answers.",Taurus,Calm,Teal,40,6pm,scorpio
Feb 19 - Mar 20,"July 6, 2022","It's time to take a break from the world. You're famous for being the very soul of sociability, but at the moment, you're intent on keeping that date with the couch. Enjoy it. You know you never do this for long.",Virgo,Tired,Sky Blue,19,9pm,pisces
Mar 21 - Apr 20,"July 7, 2022","Yesterday was tough, no doubt about it, but today will definitely be better. So much better that you'll feel intricately connected to each and every person you meet. Don't worry about it. You are.",Sagittarius,Hopeful,Pink,25,2am,aries
Jul 23 - Aug 22,"July 7, 2022","After yesterday's excitement, you're exhausted and quite ready for a break. Fortunately you'll have it. Soft music, candlelight and a nice, quiet evening at home sound just right.",Virgo,Relaxed,Purple,59,2am,leo
Nov 23 - Dec 21,"July 7, 2022","After yesterday's tensions, you're ready for a break -- and you'll have it. You can sit back and relax, knowing full well that your wish is the universe's command. Just don't ignore the phone. Guess who's calling?",Libra,Relaxed,Gold,73,12am,sagittarius
Apr 21 - May 20,"July 7, 2022","Family matters will keep you busy, but try to be patient. First of all, they need your humor and your wisdom. Besides, they can only take up so much of your time, right?",Sagittarius,Patient,Orchid,51,1pm,taurus
Aug 23 - Sep 22,"July 7, 2022","You're ready, willing and able to take charge of a certain work situation -- and you have the very distinct impression that the folks you work with are just as eager to see it happen. Go get 'em.",Libra,Responsible,Spring Green,40,2pm,virgo
Dec 22 - Jan 19,"July 7, 2022","Here they are, the two days you've been looking forward to, whether you know it or not. It's time for romance and intimacy, and lots of it. Dig right in and have as much as you like.",Virgo,Sweet,Brown,78,10pm,capricorn
May 21 - Jun 21,"July 7, 2022","If you don't already have a group of soul mates that you meet up with every week, it's time to find one. You need the company of kindred spirits, you need it now and you know just where to look.",Cancer,Friendly,Sky Blue,11,2pm,gemini
Sep 23 - Oct 22,"July 7, 2022","Everybody loves a party, but this one has arrived just in the nick of time. You've had a rough couple of days, and it's definitely time to play -- or at least relax. Treat yourself to a good time out with friends.",Gemini,Fun,Blue,22,11am,libra
Jan 20 - Feb 18,"July 7, 2022","You're already famous for being tenderhearted, but today, you're almost too much. Better keep a nice, big box of tissues handy, and avoid anything that even remotely sounds like it might be sentimental.",Taurus,Thoughtful,Spring Green,6,7pm,aquarius
Jun 22 - Jul 22,"July 7, 2022","After yesterday, you can certainly use a couple of days off to rest and regroup. Treat yourself to a nice, quiet evening at home. Nobody says you have to spend it alone.",Capricorn,Refreshed,Sky Blue,90,3pm,cancer
Oct 23 - Nov 22,"July 7, 2022","You're a soft touch at the moment, so anyone with a good story might be able to take advantage of you without even trying. If it sounds too good to be true, keep in mind that you might be right.",Aries,Cautious,Peach,86,10pm,scorpio
Feb 19 - Mar 20,"July 7, 2022","You're still hiding out, ignoring the phone, the door and the computer -- and loving every minute of it. Don't worry. This mood won't last past tomorrow, just in time to help you create yet another amazing day's worth of memories.",Aquarius,Pleasant,Red,91,12pm,pisces
Mar 21 - Apr 20,"July 8, 2022","Faraway friends and lovers will take up lots of your attention now, and you won't mind a bit. You may, however, be looking for a new long-distance carrier next month after you see the phone bill.",Pisces,Busy,Brown,40,4am,aries
Jul 23 - Aug 22,"July 8, 2022","You're famed for being diligent and extremely hardworking, but even you like time off. If you were smart and you rested up the day before, you'll be ready to rock. Or to entertain the family. Or both.",Cancer,Successful,Navy Blue,24,3pm,leo
Nov 23 - Dec 21,"July 8, 2022",Thank goodness it's time to take a break. You're definitely not in the mood for your workplace right now. Enjoy this time while you've got it. Use it to refresh and recharge your batteries.,Pisces,Tired,Silver,12,1am,sagittarius
Apr 21 - May 20,"July 8, 2022","If you're not in love now, you may be soon -- and it looks to be a pretty darned romantic relationship, too. This could also mean that you're about to be swept off your feet by your current partner. Again.",Virgo,Lucky,Yellow,57,4pm,taurus
Aug 23 - Sep 22,"July 8, 2022","You're about to be asked to take the reins in a group venture. Whether it's recreational or business-oriented doesn't matter. You're ready, and they're dying to hand over the keys to the big car. Prepare to drive.",Capricorn,Responsible,Orchid,44,4pm,virgo
Dec 22 - Jan 19,"July 8, 2022","It's day two at Romance Central (your place, that is) and you've been wearing a nonstop grin. Think your coworkers have any idea what's behind it? Bet they do -- and that they're jealous.",Scorpio,Sweet,Pink,68,8am,capricorn
May 21 - Jun 21,"July 8, 2022","Yesterday may have been tough, but rest assured that things will calm down considerably now. Stop worrying that an instant replay is right around the corner. Go ahead and relax.",Scorpio,Calm,Navy Blue,71,5am,gemini
Sep 23 - Oct 22,"July 8, 2022",Isn't it amazing what a day off and a lot less stress can do for your disposition? Or is there another reason you're feeling so much better? Like maybe a certain someone you've finally managed to hook up with?,Virgo,Relieved,Gold,52,8am,libra
Jan 20 - Feb 18,"July 8, 2022","As downright emotional as you've been feeling, it might be best to stick to lighthearted subjects, happy people and positive influences. If you can't do that, sympathetic company would be your next best bet.",Capricorn,Lucky,Navy Blue,69,9pm,aquarius
Jun 22 - Jul 22,"July 8, 2022","Once again, there's romance on the menu, but you must be getting used to it by now. What started earlier this week will continue for the next couple days -- and maybe even longer than that.",Libra,Happy,Gold,93,2pm,cancer
Oct 23 - Nov 22,"July 8, 2022","New friends are inspirational, especially when they say or do something that helps you to connect with something you've been dying to try. It's time for you to reach out and let that happen.",Virgo,Successful,Red,47,10am,scorpio
Feb 19 - Mar 20,"July 8, 2022","Well, this is certainly a change of pace. Forget being alone, even for just a few moments. It ain't gonna happen. You're back to being the official spark plug on duty.",Virgo,Charming,Rose Pink,72,1am,pisces
Mar 21 - Apr 20,"July 9, 2022","You'll be asked by the higher-ups to take on far more responsibilities soon -- but you won't mind a bit. You may, however, become so used to being in charge that you decide you like it.",Gemini,Responsible,Copper,70,10am,aries
Jul 23 - Aug 22,"July 9, 2022","Exchanging barely disguised comments with someone you're not too happy with at the moment won't be nearly as satisfying as one well-timed zinger, but you may have to settle. Just for a little while.",Gemini,Responsible,Red,20,2am,leo
Nov 23 - Dec 21,"July 9, 2022","To say a surprise is coming your way wouldn't quite cover it. You're about to be quite startled for the best of reasons. Since it's the department of love affairs that started the thing, how bad can it be?",Taurus,Sweet,Orange,90,4pm,sagittarius
Apr 21 - May 20,"July 9, 2022",It's time to work and work hard. You're fine with that -- and even finer with a certain coworker you've had your eye on for some time. Yep. Looks like there's some heavy-duty overtime coming up.,Cancer,Diligent,Navy Blue,79,4pm,taurus
Aug 23 - Sep 22,"July 9, 2022","If an authority figure or elder seems to be deliberately butting heads with you, don't question your sanity. It's not you. They're irritated -- but maybe not with you personally. Approach them, and talk this over.",Cancer,Confidence,Yellow,11,1pm,virgo
Dec 22 - Jan 19,"July 9, 2022","Speaking of work, you've been idle for several hours, and you just can't sit still any longer. You're about to actually leave the bedroom to get some chores done. How noble!",Aquarius,Diligent,Spring Green,84,10am,capricorn
May 21 - Jun 21,"July 9, 2022","That old expression about wearing your heart on your sleeve? It's not just an expression. You're about to find out just how true it can be. In short, don't even bother trying to act like you're not feeling what you're feeling.",Scorpio,Calm,Blue,53,10am,gemini
Sep 23 - Oct 22,"July 9, 2022","Each and every word that exits your lips will be charming, eloquently put and timed perfectly to achieve nothing but smiles from your audience -- i.e., everyone who's lucky enough to be around you. Alert the media.",Aquarius,Talkative,Sky Blue,63,12am,libra
Jan 20 - Feb 18,"July 9, 2022",Paying bills is equal parts irritating and satisfying. You're also feeling rather impulsive and thinking of paying up more than you need to on those credit cards. Good for you. Who needs the finance charges?,Gemini,Satisfied,Copper,95,8am,aquarius
Jun 22 - Jul 22,"July 9, 2022","Heaven help anyone who tries to talk you out of supporting your team, political party or religious choice, because it just won't happen. And the harder they push, the more firmly you'll stand your ground.",Leo,Stubborn,Yellow,76,7pm,cancer
Oct 23 - Nov 22,"July 9, 2022","You'll want to sleep in late today, probably because last night was a late one. Tonight may end similarly, so get ready for the drama by taking a nice, long nap. You'll be glad you did.",Capricorn,Tired,Blue,41,2am,scorpio
Feb 19 - Mar 20,"July 9, 2022","You've been thinking about making a major purchase, but you're not sure -- especially so close to that spending spree you were on last month. If it feels right and the deal is worth it, go ahead.",Capricorn,Satisfied,Rose Pink,30,1pm,pisces
Mar 21 - Apr 20,"July 10, 2022","Hard work is absolutely mandatory for you now -- but only during daylight hours. Once you're done, you can set about the serious business of indulging yourself in something you just love.",Virgo,Accomplished,Teal,65,6am,aries
Jul 23 - Aug 22,"July 10, 2022","If any sign absolutely owns the concept of sex appeal, it's yours. Hands down. So if you're not interested, don't flirt -- not even a little bit. You're more potent than you realize.",Virgo,Attractive,Shadow Black,72,6am,leo
Nov 23 - Dec 21,"July 10, 2022","Your life has suddenly begun to resemble a foreign film about an internationally famous detective and a totally unpredictable dream one. Regardless of which part you're playing, put your whole heart into it. Action!",Libra,Charming,Orange,10,5am,sagittarius
Apr 21 - May 20,"July 10, 2022","You'll be quite choosy about companions now, and you have every right to be. Don't settle for just anyone. Spend every minute with someone you really want to be with.",Aquarius,Cautious,Orange,46,8pm,taurus
Aug 23 - Sep 22,"July 10, 2022","Here's one more day of your thoughts, feelings and most especially your words being amusingly blunt. Don't fight it. Enjoy it. Next week you can explain that you took a dose of truth serum.",Aquarius,Innocent,Teal,80,8am,virgo
Dec 22 - Jan 19,"July 10, 2022","It's a given that you'll be on the receiving end of some lovely and very extravagant attention. Your admirer won't just be after a peck on the cheek -- but then, neither will you. Enjoy!",Sagittarius,Attractive,Pink,63,10am,capricorn
May 21 - Jun 21,"July 10, 2022","An invitation will arrive shortly -- the kind you absolutely won't be able to refuse. This may involve long-distance travel, or at the very least, a long-distance guest. Ready or not, it's time to catch up.",Scorpio,Refreshed,Blue,80,7pm,gemini
Sep 23 - Oct 22,"July 10, 2022",You know how good you're feeling now about just being you? You can spread some of that around if you pass out some big warm hugs -- which have always been your specialty.,Cancer,Warm,Pink,41,10am,libra
Jan 20 - Feb 18,"July 10, 2022","It's time for a nice, heady dose of romance, and not a moment too soon. You're ready to forget about family, friends and work -- and there's someone out there who'll be only too happy to help.",Cancer,Lucky,Teal,28,4am,aquarius
Jun 22 - Jul 22,"July 10, 2022","You've never been famous for being shy, and you're not about to start working on that reputation now. You may, however, be a bit more subtle than you usually are, which will take some doing.",Gemini,Sweet,Copper,74,12pm,cancer
Oct 23 - Nov 22,"July 10, 2022",Your primary partner or best friend in the world will take a starring role in your life -- much to your delight and theirs as well. Cancel all your appointments. Spend your time with those dearest to you.,Taurus,Sweet,Red,47,9am,scorpio
Feb 19 - Mar 20,"July 10, 2022",Just because you're in the mood to let a certain person slide for an unintentional offense doesn't mean you're a sucker. Make that point clear early on. Just so there's no mistake.,Cancer,Innocent,Gold,63,7pm,pisces
Mar 21 - Apr 20,"July 11, 2022","If you're not on vacation now, you'll want to be. Satisfy your wanderlust by picking up some brochures or making plans with a dear one. A day trip might do the trick, too.",Libra,Relaxed,Copper,56,10am,aries
Jul 23 - Aug 22,"July 11, 2022","Feeling impulsive isn't new to you, but the way you're feeling now is making even you wonder if you've gone over the top. If it's love, you can stop wondering. It's just one of the symptoms.",Aries,Loved,Red,64,1pm,leo
Nov 23 - Dec 21,"July 11, 2022","You're in the mood to try anything -- anything at all. Don't worry about anyone being appalled at what you say or do, either. You'll have an appreciative audience at your disposal.",Capricorn,Charming,Silver,62,5am,sagittarius
Apr 21 - May 20,"July 11, 2022","Don't let jealousy or resentment over material things interfere with what promises to be a great couple of days. Remember that things are replaceable, but relationships aren't. If you've got to compromise, do it graciously.",Aquarius,Generous,Red,39,3pm,taurus
Aug 23 - Sep 22,"July 11, 2022","You can get back to business now, but it won't be the kind of business you're expecting. Your schedule will be the same, but everyone you cross paths with will be anything but ordinary.",Sagittarius,Lucky,Gold,27,11pm,virgo
Dec 22 - Jan 19,"July 11, 2022","Once again, you're in the mood to rendezvous with someone who's secretive, dangerous and oozing intrigue from every pore. Bet you can find appropriate company, and that they won't mind keeping quiet for a little while.",Virgo,Flirty,Shadow Black,82,8pm,capricorn
May 21 - Jun 21,"July 11, 2022","Emotional? Who, you? Yep, but just for a few more hours. You won't be wearing your heart on your sleeve much longer, so make the most of it. Let it all out now, while you can claim temporary insanity.",Scorpio,Moody,Red,70,10am,gemini
Sep 23 - Oct 22,"July 11, 2022",Someone is about to say or do something that will make you so happy you'll be just about purring. Return the favor by letting them know how dear they really are to you.,Sagittarius,Grateful,Sky Blue,27,3pm,libra
